Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
940515,Bank account or service,Checking account,"Account opening, closing, or management",,PA,18705,Postal mail,7/16/2014,7/21/2014,M&T Bank,Closed with explanation,Yes,No
940517,Bank account or service,Checking account,Deposits and withdrawals,,TX,77598,Web,7/16/2014,7/16/2014,Capital One,Closed with explanation,Yes,No
940523,Bank account or service,Checking account,Deposits and withdrawals,,FL,33839,Postal mail,7/16/2014,7/21/2014,Wells Fargo,Closed with explanation,Yes,No
940600,Bank account or service,Checking account,"Account opening, closing, or management",,TX,77008,Referral,7/16/2014,7/22/2014,Capital One,Closed with non-monetary relief,Yes,No
940606,Bank account or service,Checking account,Problems caused by my funds being low,,SD,57442,Referral,7/16/2014,7/22/2014,Bank of the West,Closed with monetary relief,Yes,No
940607,Bank account or service,Checking account,"Account opening, closing, or management",,OH,43615,Referral,7/16/2014,7/22/2014,SunTrust Bank,Closed with monetary relief,Yes,No
940712,Bank account or service,Checking account,"Account opening, closing, or management",,NY,10473,Postal mail,7/16/2014,7/23/2014,JPMorgan Chase,Closed with explanation,Yes,Yes
940727,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,MD,20852,Web,7/15/2014,7/16/2014,JPMorgan Chase,Closed with explanation,Yes,Yes
940967,Bank account or service,Checking account,"Account opening, closing, or management",,PA,16117,Web,7/17/2014,7/23/2014,PNC Bank,Closed with explanation,Yes,No
940971,Bank account or service,Checking account,Deposits and withdrawals,,GA,30101,Referral,7/17/2014,7/23/2014,Bank of America,Closed with monetary relief,Yes,No
940985,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,77479,Web,7/17/2014,7/17/2014,PayPal,Closed with non-monetary relief,Yes,No
941029,Bank account or service,Other bank product/service,"Account opening, closing, or management",,MA,2359,Referral,7/17/2014,7/22/2014,RBS Citizens,Closed with explanation,Yes,No
941035,Bank account or service,Checking account,Using a debit or ATM card,,CA,94560,Web,7/16/2014,7/17/2014,Charles Schwab Bank,Closed with explanation,Yes,Yes
941076,Bank account or service,Checking account,"Account opening, closing, or management",,NY,10010,Phone,7/16/2014,7/22/2014,Navy FCU,Closed with explanation,Yes,No
941136,Bank account or service,Other bank product/service,"Account opening, closing, or management",,WA,98248,Web,7/16/2014,7/17/2014,Bank of America,Closed with explanation,Yes,No
941141,Bank account or service,Checking account,Problems caused by my funds being low,,CA,90292,Web,7/16/2014,7/17/2014,Bank of America,Closed with explanation,Yes,No
941143,Bank account or service,Savings account,"Account opening, closing, or management",,IL,60642,Web,7/16/2014,7/17/2014,U.S. Bancorp,Closed with explanation,Yes,No
941193,Bank account or service,Other bank product/service,Problems caused by my funds being low,,MI,49085,Web,7/17/2014,7/31/2014,GE Capital Retail,Closed with monetary relief,Yes,Yes
941227,Bank account or service,Checking account,"Account opening, closing, or management",,SC,29615,Referral,7/16/2014,7/22/2014,SunTrust Bank,Closed with explanation,Yes,Yes
